type,bool > 0.5,max index,diff max and 1,slope to min,max val,slope to max,min index,diff 1,diff 2,diff 3,diff 4,diff 5,entry #
Neither,0,116,0.24685000000000001,0.0039238604651162792,0.36194500000000002,0.0021280172413793105,30,-0.086259000000000002,0.16753899999999999,-0.064283000000000007,0.22985300000000003,,62
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.16753899999999999,0.20761300000000002,,,63
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.16753899999999999,0.20761300000000002,,,64
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.16753899999999999,0.20761300000000002,,,65
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.16753899999999999,0.20761300000000002,,,66
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.16753899999999999,0.20761300000000002,,,67
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.16753899999999999,0.20761300000000002,,,68
Neither,0,79,0.13004099999999999,0.0016460886075949366,0.151005,0.0016460886075949366,0,0.10315000000000001,-0.028230000000000005,,,,69
Neither,0,120,0.20238500000000004,0.0031617613636363636,0.29811700000000002,0.0016865416666666669,32,-0.075850000000000001,0.23752699999999999,,,,70
Neither,0,0,0.0,-0.0027322288135593221,0.34671099999999999,0,118,-0.30002899999999999,0.257357,-0.27973100000000001,,,71
Neither,0,0,0.0,-0.0027322288135593221,0.34671099999999999,0,118,-0.30002899999999999,0.257357,-0.27973100000000001,,,72
Neither,0,108,0.078461999999999976,0.0033256153846153848,0.372116,0.00072649999999999982,30,-0.18093600000000004,0.105862,0.15353600000000001,-0.172592,,73
Neither,0,0,0.0,-0.0025050806451612905,0.32261800000000002,0,124,-0.22337000000000001,0.087607999999999991,-0.174868,,,74
Neither,0,64,0.078181,-0.0057129772727272732,0.22403600000000001,0.001221578125,108,0.078181,-0.25137100000000001,,,,75
Type B,1,63,0.040630999999999973,-0.0161385,0.827816,0.00064493650793650745,115,-0.20967000000000002,0.250301,-0.839202,,,76
Neither,1,124,0.67154100000000005,0.0070943113207547169,1.019101,0.005415653225806452,18,-0.073970999999999953,0.74551199999999995,,,,77
Neither,1,106,0.31439299999999992,0.0098305121951219494,0.94622399999999995,0.002965971698113207,65,0.20092599999999994,-0.28958399999999995,0.40305099999999994,-0.299817,,78
Neither,1,123,0.82278600000000002,0.0066893170731707318,1.017774,0.0066893170731707318,0,0.64196000000000009,0.18082599999999993,,,,79
Neither,1,72,0.410385,-0.013898645833333334,0.85797699999999999,0.0056997916666666664,120,0.37901799999999997,-0.63576799999999989,,,,80
Type B,1,28,0.13585499999999995,-0.019528155555555555,0.86063999999999996,0.0048519642857142841,73,0.13585499999999995,-0.87876699999999996,,,,81
Neither,0,0,0.0,-0.0036984174757281555,0.40570000000000001,0,103,-0.226296,0.10362199999999999,-0.25826300000000002,0.066111000000000003,,82
Type A,1,12,0.0030119999999999036,-0.010646632183908046,0.98077499999999995,0.00025099999999999195,99,-0.90143100000000009,0.087844999999999993,,,,83
Type A,1,2,0.00019000000000002348,-0.0077545409836065581,0.98269700000000004,9.5000000000011742e-05,124,-0.94586400000000004,,,,,84
Type A,1,0,0.0,-0.00911433628318584,0.99669399999999997,0,113,-0.906057,-0.123863,,,,85
