type,bool > 0.5,max index,diff max and 1,slope to min,max val,slope to max,min index,diff one,diff two,diff three
Neither,0,0,0.0,-0.0054964096385542172,0.460289,0,83,-0.08297199999999999,0.0013400000000000079,-0.035791000000000017
Neither,0,0,0.0,-0.0019080085470085466,0.32702399999999998,0,117,-0.063986999999999961,0.0011419999999999764,-0.14219700000000002
Neither,0,1,0.00031799999999998496,-0.0041122857142857142,0.39721299999999998,0.00031799999999998496,106,0.00031799999999998496,-0.017733999999999972,0.0022979999999999667
Neither,0,93,0.19519,0.0077730000000000004,0.270509,0.0020988172043010754,62,-0.031299,0.00011400000000000299,-0.0091190000000000021
Neither,0,68,0.10269699999999998,-0.0096040697674418599,0.39070199999999999,0.0015102499999999997,111,-0.19839200000000001,0.0030600000000000072,-0.0032450000000000118
Neither,0,68,0.10269699999999998,-0.0096040697674418599,0.39070199999999999,0.0015102499999999997,111,-0.19839200000000001,0.0030600000000000072,-0.0032450000000000118
Neither,0,68,0.10811199999999999,-0.009438046511627907,0.396117,0.0015898823529411762,111,-0.19839200000000001,0.0030600000000000072,-0.0032450000000000118
Neither,0,68,0.10269699999999998,-0.0096040697674418599,0.39070199999999999,0.0015102499999999997,111,-0.19839200000000001,0.0030600000000000072,-0.0032450000000000118
Neither,0,124,0.10830099999999998,0.0020966777777777774,0.27456199999999997,0.00087339516129032247,34,-0.035838999999999982,0.00026699999999998947,-0.039158999999999999
Neither,0,46,0.093700000000000006,0.0029799142857142857,0.23236000000000001,0.0020369565217391306,11,-0.010596999999999995,0.01372799999999999,-0.00012999999999999123
Neither,0,73,0.16749299999999998,0.0074063870967741923,0.34526299999999999,0.0022944246575342464,42,0.0004679999999999962,-0.058412000000000006,0.0019619999999999915
Neither,0,116,0.24685000000000001,0.0039238604651162792,0.36194500000000002,0.0021280172413793105,30,-0.086259000000000002,0.00014099999999999877,-0.0014610000000000005
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.00014099999999999877,-0.0014610000000000005
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.00014099999999999877,-0.0014610000000000005
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.00014099999999999877,-0.0014610000000000005
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.00014099999999999877,-0.0014610000000000005
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.00014099999999999877,-0.0014610000000000005
Neither,0,114,0.28889300000000001,0.0045177976190476192,0.40398800000000001,0.0025341491228070175,30,-0.086259000000000002,0.00014099999999999877,-0.0014610000000000005
Neither,0,79,0.13004099999999999,0.0016460886075949366,0.151005,0.0016460886075949366,0,0.006804000000000001,-0.00094999999999999946,0.097295999999999994
Neither,0,120,0.20238500000000004,0.0031617613636363636,0.29811700000000002,0.0016865416666666669,32,-0.075850000000000001,0.23752699999999999,-0.0047579999999999845
Neither,0,0,0.0,-0.0027322288135593221,0.34671099999999999,0,118,-0.30002899999999999,0.00063699999999999868,-0.0033409999999999968
Neither,0,0,0.0,-0.0027322288135593221,0.34671099999999999,0,118,-0.30002899999999999,0.00063699999999999868,-0.0033409999999999968
Neither,0,108,0.078461999999999976,0.0033256153846153848,0.372116,0.00072649999999999982,30,-0.18093600000000004,0.021517999999999995,-9.5999999999984986e-05
Neither,0,0,0.0,-0.0025050806451612905,0.32261800000000002,0,124,-0.22337000000000001,0.087607999999999991,-0.00082599999999999341
Neither,0,64,0.078181,-0.0057129772727272732,0.22403600000000001,0.001221578125,108,-0.033220000000000013,0.11140100000000001,-0.25137100000000001
Neither,1,63,0.040630999999999973,-0.0161385,0.827816,0.00064493650793650745,115,-0.20967000000000002,0.250301,-0.839202
Neither,1,124,0.67154100000000005,0.0070943113207547169,1.019101,0.005415653225806452,18,-0.073970999999999953,0.001886999999999972,-0.0083719999999999906
Neither,1,106,0.31439299999999992,0.0098305121951219494,0.94622399999999995,0.002965971698113207,65,0.0033400000000000096,-0.010108000000000006,0.20769399999999993
Neither,1,123,0.82278600000000002,0.0066893170731707318,1.017774,0.0066893170731707318,0,0.0027080000000000159,-0.00068000000000001393,0.63993200000000006
Neither,1,72,0.410385,-0.013898645833333334,0.85797699999999999,0.0056997916666666664,120,-0.076090999999999964,0.45510899999999993,-0.00047199999999991693
Neither,1,28,0.13585499999999995,-0.019528155555555555,0.86063999999999996,0.0048519642857142841,73,0.13585499999999995,-0.87876699999999996,0.045415999999999998
Neither,0,0,0.0,-0.0036984174757281555,0.40570000000000001,0,103,-0.226296,0.0012099999999999889,-0.002127999999999991
Type A,1,12,0.0030119999999999036,-0.010646632183908046,0.98077499999999995,0.00025099999999999195,99,0.0030119999999999036,-0.904443,0.0031000000000000055
Type A,1,2,0.00019000000000002348,-0.0077545409836065581,0.98269700000000004,9.5000000000011742e-05,124,0.00019000000000002348,-0.94605400000000006
Type A,1,0,0.0,-0.00911433628318584,0.99669399999999997,0,113,-0.906057,0.015961000000000003,-0.139824
